Batch,fase,orden_escalon_fase,ley_sn_escoria_pct_prev,sn_inventario_escoria_est_kg_prev,sn_extraido_real_kg,d_ley_sn_real_pts,feo_extraido_real_kg,temperatura_real,pred_sn_kg_historico,pred_sn_kg_recomendado,pred_feo_reducido_kg_historico,pred_feo_reducido_kg_recomendado,pred_T_historico,pred_T_recomendado,support_historico,support_recomendado,J_historico,J_recomendado,uplift_J_kgSn,hist__duracion_plan_min,rec__duracion_plan_min,hist__tasa_feed_conc_kg_min,rec__tasa_feed_conc_kg_min,hist__tasa_feed_reciclo_kg_min,rec__tasa_feed_reciclo_kg_min,hist__tasa_feed_Fe_kg_min,rec__tasa_feed_Fe_kg_min,hist__tasa_feed_dross_Fe_kg_min,rec__tasa_feed_dross_Fe_kg_min,hist__tasa_feed_pellets_kg_min,rec__tasa_feed_pellets_kg_min,hist__tasa_feed_CaO_kg_min,rec__tasa_feed_CaO_kg_min,hist__tasa_feed_Carbon_kg_min,rec__tasa_feed_Carbon_kg_min,hist__tasa_gn_nm3_min,rec__tasa_gn_nm3_min,hist__tasa_o2_nm3_min,rec__tasa_o2_nm3_min,hist__tasa_aire_nm3_min,rec__tasa_aire_nm3_min,rec_derivada__exceso_o2_combustion_pct,rec_derivada__oxygen_enrichment_pct,rec_derivada__relacion_C_Sn_carga,rec_derivada__relacion_CaO_carga,rec_derivada__ley_sn_carga_pct,rec_derivada__frac_carga_secundaria,fold,es_lockbox
AP0001,Fusión,1,27.9049,1518.3084876337348,2918.17913431452,-1.4582000000000015,-1266.2644848273333,1180.1166727325062,3036.5470508493245,3036.5470508493245,0.0,0.0,1133.0812836192622,1133.0812836192622,0.09317826244331356,0.09317826244331356,-3495.981436785458,-3495.981436785458,0.0,35.0,35.0,281.39556974951455,281.39556974951455,1.4398610499979895e-18,1.4398610499979895e-18,52.79106810893172,52.79106810893172,3.8229928387160846e-26,3.8229928387160846e-26,0.004945094463029684,0.004945094463029684,42.152676250144005,42.152676250144005,28.051410117638472,28.051410117638472,25.184834439716642,25.184834439716642,33.75321956536709,33.75321956536709,122.91431625124008,122.91431625124008,18.256139663544435,38.02014608045774,0.18988688292228528,0.1261332672644951,44.20427019821473,1.4797184355557197e-05,0,False
AP0001,Fusión,2,26.4467,3770.572614106035,3563.0781638393983,-1.2963999999999984,-1593.0206608305746,1228.9785056080693,3888.938100078187,3888.938100078187,0.0,0.0,1188.9421326185818,1188.9421326185818,0.18229933998697045,0.18229933998697045,-3412.952916825439,-3412.952916825439,0.0,40.0,40.0,280.1401912702671,280.1401912702671,1.4398610499979895e-18,1.4398610499979895e-18,52.62579798170225,52.62579798170225,5.619336425831323e-25,5.619336425831323e-25,0.004260957723021035,0.004260957723021035,42.10558144158913,42.10558144158913,32.7754950873107,32.7754950873107,25.4588714006212,25.4588714006212,34.46505116780598,34.46505116780598,122.89922441270615,122.89922441270615,18.37502013738831,38.30214200276759,0.22279684353211404,0.12653048586842316,44.20747740833472,1.2804503167984605e-05,0,False
AP0001,Fusión,3,25.1503,6091.867777590984,4753.790433426637,-0.30370000000000275,-1701.2954232192528,1220.8329049313163,5146.638450402546,5128.044312355675,0.0,0.0,1230.7214680520235,1229.5649169820572,0.2666232158626496,0.3235429484387583,-3489.396608761247,-3365.7343457010898,123.66226306015733,45.0,45.0,296.02618815104165,296.02618815104165,1.4398610499979895e-18,1.4398610499979895e-18,55.564620573624225,55.564620573624225,1.2413309048907944e-24,1.2413309048907944e-24,0.003374278039226065,0.003374278039226065,44.495595384680705,49.62904408539713,44.652730571359825,39.85867548852273,25.593401655032313,25.593401655032313,34.93587280273437,34.93587280273437,122.74050350236304,122.74050350236304,18.607482031004682,38.50378855787283,0.25645006542735416,0.14115433782650294,44.20570971611605,9.59708152850784e-06,0,False
AP0001,Fusión,4,24.8466,8332.189020426005,6090.487007346102,-4.846299999999999,-2104.011662638025,1208.1428044582235,5382.631654410523,5382.631654410523,0.0,0.0,1206.7025509336825,1206.7025509336825,0.1680447816214366,0.1680447816214366,-3673.800757222246,-3673.800757222246,0.0,50.0,50.0,250.5160085981025,250.5160085981025,1.4398610499979895e-18,1.4398610499979895e-18,42.6254441446392,42.6254441446392,0.07871619739132721,0.07871619739132721,0.00017597585661335223,0.00017597585661335223,37.42071487081683,37.42071487081683,38.876226895927786,38.876226895927786,23.490653489854605,23.490653489854605,30.04919929334853,30.04919929334853,123.16724500868057,123.16724500868057,19.013974577847158,36.49368121019042,0.30151365976282996,0.12761977645697886,43.972688136902605,0.00026905422702010634,0,False
AP0001,Fusión,5,20.0003,8688.545404272812,6197.822652775436,0.9908000000000001,-1459.6608115925837,1204.8229530896529,7041.215407887724,7041.215407887724,0.0,0.0,1194.059326560316,1194.059326560316,0.22536252673110413,0.22536252673110413,-3830.0765414597427,-3830.0765414597427,0.0,55.0,55.0,296.2493361700149,296.2493361700149,1.4398610499979896e-18,1.4398610499979896e-18,55.58101726713636,55.58101726713636,2.1696437961071375e-27,2.1696437961071375e-27,0.002378694815810637,0.002378694815810637,44.48128683907646,44.48128683907646,49.54491083054316,49.54491083054316,26.34371137522688,26.34371137522688,36.731512334033695,36.731512334033695,123.13378639914774,123.13378639914774,18.79420971927437,39.151465623767486,0.31856182227611857,0.1264273695330661,44.2047647128561,6.7608684427872574e-06,0,False
AP0001,Fusión,6,20.9911,11044.698479693592,11871.047369050317,-3.0398999999999994,-2928.743384114987,1218.2317549476704,7139.972895128361,7139.972895128361,0.0,0.0,1192.552061470596,1192.552061470596,0.1753882995945047,0.1753882995945047,-4005.1951195652055,-4005.1951195652055,0.0,59.0,59.0,293.9505168090373,293.9505168090373,1.4398610499979895e-18,1.4398610499979895e-18,53.89619707938956,53.89619707938956,0.04992457584348092,0.04992457584348092,0.008400020552821493,0.008400020552821493,42.45147891875101,42.45147891875101,51.86790663890349,51.86790663890349,26.31291045765818,26.31291045765818,36.65029980831111,36.65029980831111,122.91776210455248,122.91776210455248,18.69274201115165,39.145070198556866,0.3377242546156641,0.1220203050339062,44.144413402001895,0.0001676451615944238,0,False
AP0001,Reducción,0,17.9512,12995.90856980535,10449.158205489217,-13.734300000000001,1042.960046369326,1228.5968346129157,11046.885326661799,11393.953582088345,2085.4580455665937,1768.3206425186768,1221.634139505993,1216.8695886068622,0.2723301952063695,0.26831376841680166,8302.068409593896,8690.568985171365,388.50057557746914,30.0,29.58547245622447,,,,,,,7.712614798515001e-21,7.712614798515001e-21,2.845300332410261e-06,2.845300332410261e-06,,,63.27719600282865,66.2899693642893,25.67613748055917,25.93746462558095,23.1553141841182,22.142080524737658,118.90712917751736,128.51681674364804,-5.290257258898705,32.61049492044393,,,,,0,False
AP0001,Reducción,1,4.2169,2593.2645540504946,1661.5422931767675,-2.6464999999999996,270.1009378336548,1229.411981736617,1363.7035807611833,1378.6133063145576,810.3838084269182,628.2788605910173,1231.6870117798496,1222.2482373600508,0.27863682384216,0.2759329475988321,-894.5704635594303,-819.1948272873391,75.37563627209124,25.0,24.13640355967893,,,,,,,1.236805608128956e-08,1.236805608128956e-08,3.246143692322738e-23,3.246143692322738e-23,,,37.86293647961739,41.046717272210294,24.165946777343752,24.12013296765252,20.195696682400175,21.122309694034428,119.80885416666668,118.48205768926661,-4.636633076451726,32.95279558301496,,,,,0,False
AP0001,Reducción,2,1.5704,931.9630556700827,178.003453798802,-0.2627999999999999,629.9620069465891,1230.795367123941,365.13582291483715,355.5602604760178,716.3046395664945,608.6338453847794,1227.329708318582,1225.4576561855094,0.3032699809636372,0.3159587927674832,-1786.316266863176,-1732.7095159660673,53.60675089710867,20.0,18.99885997499103,,,,,,,8.080525657587182e-24,8.080525657587182e-24,3.246143692322738e-23,3.246143692322738e-23,,,18.906451900421626,16.371214830566394,19.694319746229382,18.07791708617149,12.328093630472818,9.428906673377684,116.94646470811631,117.40886360197231,-5.7281658408958815,26.872727229277064,,,,,0,False
AP0001,Reducción,3,1.3076,753.9985730352762,,,,1235.7334422125455,277.1480089471129,277.1480089471129,555.7004154453559,555.7004154453559,1231.4479973670059,1231.4479973670059,0.33078581025622567,0.33078581025622567,-1773.9903042906394,-1773.9903042906394,0.0,15.0,15.0,,,,,,,8.080525657587182e-24,8.080525657587182e-24,3.246143692322738e-23,3.246143692322738e-23,,,4.354313337802887,4.354313337802887,17.021396597403065,17.021396597403065,6.807160633228444,6.807160633228444,118.99402542679398,118.99402542679398,-6.600184682535845,25.27472670860565,,,,,0,False
