Batch,fecha_batch,es_lockbox,rendimiento_proxy_batch,recuperacion_refinada_pct,sn_perdido_escoria_frac,recuperacion_real_pct,f_metal,f_dross,f_polvo,sn_metal_t,sn_dross_t,sn_polvo_t,feed_sn_total_t,ley_sn_conc_batch_pct,espesor_ladrillo_norm_mm,frac_carga_secundaria_F,feed_dross_Fe_total_t,T_media_F,T_media_R,R_sum_ln_sn_dep,R_sum_ln_feo_ret,R_n_validos,R_lnirf_twmean,R_lnirf_fin,F_lnirf_F0,F_lnirf_fin,F_sum_d_lnirf,F_sum_ln_sn_dep,F_sn_ext_kg,R_sdi_w10,idx_cronologico,recuperacion_refinada_pct_next,rendimiento_proxy_batch_next,recuperacion_real_pct_next,f_metal_next,f_dross_next,f_polvo_next,es_dev,R_sum_m6_ln_sn_dep,R_sum_m6_ln_feo_ret,F_sum_m6_ln_sn_dep,F_m6_sn_ext_kg,R_m6_masa_fin_kg,F_m6_masa_fin_kg,m6_k_anclaje,valor_hist_pp__gn,valor_rec_pp__gn,z_hist__gn,delta__gn,beta__gn,t__gn,valor_hist_pp__carbon,valor_rec_pp__carbon,z_hist__carbon,delta__carbon,beta__carbon,t__carbon,efecto_ln_sn_dep,efecto_ln_feo_ret,valor_hist_pp,valor_rec_pp
AP0101,2026-05-24 21:10:00,False,66.5706281446838,65.65090617396629,0.013815732198269154,66.75876793296183,0.6657062814468379,0.17130481013505733,0.1629889084181047,32.508559999999996,8.365359999999999,7.9592680080000004,48.6955661504188,40.11343322,284.8024547953325,0.4891908483436986,24.82118668144655,1107.9128138493245,1101.3533958052426,2.771636148661137,-0.24548084314537502,4,-1.5023413257406466,-1.6014317124496484,-1.5830217082319356,-1.3969337948112897,0.1860879134206459,3.7211263324629407,34837.230915035645,0.3168277172073868,101,68.34069887713703,69.21493902604699,67.84663352193634,0.69214939026047,0.11289255471536089,0.1949580550241691,True,2.9042524296334413,-0.3787645118988908,3.052945982271477,33949.109081990886,54744.45047588545,74180.34391525165,1.094366373667929,-0.22353934876380013,0.0,0.44642857097202543,0.0,-0.5007281417429884,-0.7616828913895438,0.052262691284322364,0.0,-0.35566591220385063,0.0,-0.14694321128634869,-0.13314730366131142,0.0,0.0,-0.17127665747947776,0.0
AP0102,2026-05-25 04:50:00,False,69.21493902604699,68.34069887713703,0.012630801402295028,67.84663352193634,0.69214939026047,0.11289255471536089,0.1949580550241691,33.29452,5.43048,9.378083624,49.07320860545738,40.11343322,284.7783439420854,0.4885039439118864,25.87343918698254,1084.3638758223399,1087.1423850590872,3.2105745271187454,-0.22703001096341796,4,-1.4326543493551314,-1.5762078773221428,-1.5625141871178023,-1.3806303657742558,0.18188382134354653,3.466513343605975,32756.23084466654,0.9402744174845656,102,69.24932266662927,70.27804856385265,67.89673691771856,0.7027804856385265,0.1135559599709368,0.1836635543905367,True,3.3718298981322605,-0.3941351984896214,2.813965360381816,30306.261547837566,55613.43148095069,80817.19763958544,1.1193551004355766,-0.12745154339859052,0.0,0.2545324154439243,0.0,-0.5007281417429884,-0.7616828913895438,0.03244956453500027,0.0,-0.22083064777838363,0.0,-0.14694321128634869,-0.13314730366131142,0.0,0.0,-0.09500197886359024,0.0
AP0103,2026-05-25 12:39:00,False,70.27804856385265,69.24932266662927,0.014637940555345898,67.89673691771856,0.7027804856385265,0.1135559599709368,0.1836635543905367,32.202799999999996,5.20336,8.415829452,47.429083431543006,40.11343322,284.7783439420854,0.39982465623897395,19.655904746965497,1072.8079606860722,1086.305752672054,2.7593282737119216,-0.09698649677624087,2,-1.3903993610512078,-1.4746571805287503,-1.3933891350969367,-1.3284846401889983,0.06490449490793848,3.706529097584775,34262.141522528196,1.7894633059495129,103,62.10984481094542,63.119763101629005,63.69402157005183,0.63119763101629,0.19647689080209443,0.17232547818161556,True,2.914507096592695,-0.25991345365505486,3.1452822502054936,32452.78201611623,56142.0254607025,72957.97956080496,1.0978515244842575,-0.03422221193777608,0.0,0.06834489433458185,0.0,-0.5007281417429884,-0.7616828913895438,0.024109336475269735,0.0,-0.16407247578309553,0.0,-0.14694321128634869,-0.13314730366131142,0.0,0.0,-0.010112875462506346,0.0
AP0104,2026-05-25 20:20:00,False,63.119763101629005,62.10984481094542,0.01600003296998306,63.69402157005183,0.63119763101629,0.19647689080209443,0.17232547818161556,30.47016,9.48464,8.318765208,47.83833592056732,40.11343322,284.0350818309193,0.4121257684841228,19.795446828118976,1082.37598355357,1087.6092278377587,2.5937773153703603,-0.1601805993558681,4,-1.4588990911790054,-1.5632081599846221,-1.4736652057704884,-1.3482914802241839,0.12537372554630455,3.6588377863759103,35006.52137866878,0.9919713218116795,104,68.07043434810971,69.0643554002944,69.54700039798003,0.6906435540029441,0.12760228788210942,0.1817541581149464,True,2.78835662404206,-0.3552321677514497,2.9541332715932347,32826.3505657448,54872.84812013504,75319.78445423879,1.0401879109658476,-0.018823025576260317,0.0,0.03759130755211622,0.0,-0.5007281417429884,-0.7616828913895438,0.0506984794971035,0.0,-0.34502090333596436,0.0,-0.14694321128634869,-0.13314730366131142,0.0,0.0,0.031875453920843184,0.0
AP0105,2026-05-26 03:48:00,False,69.0643554002944,68.07043434810971,0.014391230417253162,69.54700039798003,0.6906435540029441,0.12760228788210942,0.1817541581149464,31.92448,5.89832,8.401449564,45.90346070616042,39.4006275,283.14316729751994,0.3938059925573944,19.056804340963552,1090.0051924843685,1075.7561978529866,3.0257480754425052,-0.24040570039740597,3,-1.3266408340324665,-1.4045638005174368,-1.4365643468853093,-1.2498957396637485,0.18666860722156087,3.47962357834113,30538.5825366941,0.6216910714684456,105,67.17760387452252,67.6954478007303,73.32948553261873,0.6769544780073031,0.12178926482728442,0.20125625716541246,True,3.098305719174928,-0.3147919461595497,2.9001878512202177,29025.706174390813,55614.457737287885,77835.27065812278,1.0533806910357646,0.30465095824506744,0.0,-0.6084158904762285,0.0,-0.5007281417429884,-0.7616828913895438,0.061273812624905846,0.0,-0.41698974786593834,0.0,-0.14694321128634869,-0.13314730366131142,0.0,0.0,0.36592477086997327,0.0
AP0106,2026-05-26 11:34:00,False,67.6954478007303,67.17760387452252,0.007649612241758538,73.32948553261873,0.6769544780073031,0.12178926482728442,0.20125625716541246,33.74532,6.07104,10.032368528000001,46.0187600593342,39.4006275,283.14316729751994,0.40087325673488367,18.911860551082718,1094.1079152411723,1118.718467616362,3.4374081497264513,-0.2899232582336808,3,-1.349256487998354,-1.4501739064733983,-1.4087263914791432,-1.259593583462214,0.14913280801692919,4.145520138696487,32002.25746580922,0.5381755673896431,106,67.5915418532535,68.37984972223518,74.73721283681844,0.6837984972223518,0.13869490189926387,0.1775066008783845,True,3.496621700369591,-0.35791739976488446,3.438759629488883,30385.922953639787,53978.15456511073,74307.48863567623,0.9639620371628526,-0.2459808546159968,0.0,0.4912463153354237,0.0,-0.5007281417429884,-0.7616828913895438,0.08850428557262238,0.0,-0.6023026501044257,0.0,-0.14694321128634869,-0.13314730366131142,0.0,0.0,-0.15747656904337443,0.0
AP0107,2026-05-26 19:40:00,False,68.37984972223518,67.5915418532535,0.011528365040049829,74.73721283681844,0.6837984972223518,0.13869490189926387,0.1775066008783845,33.813919999999996,6.858480000000001,8.7777233,45.24375303348475,39.4006275,282.27078980022185,0.3919119772531038,18.76389565917063,1122.6538684297482,1073.800594320502,2.550575890191714,-0.13469327400486317,3,-1.3194815772923694,-1.3345428817225418,-1.3506640169158453,-1.2198614289016225,0.13080258801422273,4.406606635163822,34634.45039184473,1.2036431501430822,107,71.2406149621665,72.60709805321838,76.83114004378601,0.7260709805321838,0.08508845228383212,0.18884056718398418,True,2.6178097812892984,-0.20579922464282463,3.6732327283124895,33716.76872607611,54886.274100003604,68262.87447611656,0.9336846656328742,0.23540175002965052,0.0,-0.4701188737070754,0.0,-0.5007281417429884,-0.7616828913895438,-0.020795176054392656,0.0,0.14151845377782737,0.0,-0.14694321128634869,-0.13314730366131142,0.0,0.0,0.21460657397525787,0.0
AP0108,2026-05-27 02:45:00,False,72.60709805321838,71.2406149621665,0.018820241101638404,76.83114004378601,0.7260709805321838,0.08508845228383212,0.18884056718398418,35.23296,4.12896,9.163583628000001,45.857656127347276,39.4006275,280.74412917995005,0.3842571548501983,18.566964306049005,1050.4552958176146,1031.7773236223438,2.6624414786528026,-0.13790137181111287,4,-1.3252666742637982,-1.3479731939899593,-1.3622414614648664,-1.2806070326198364,0.08163442884502992,3.3099979021297217,30561.242176587984,1.283427760541674,108,73.70356116512347,75.2440608247891,73.69685732994002,0.752440608247891,0.0577214762631082,0.18983791548900067,True,2.771084044083047,-0.2497418865344535,2.7304741143891467,28537.5698450074,55009.575443077796,77156.20526395977,0.9953710075941669,0.5337067612583372,0.0,-1.0658613262688874,0.0,-0.5007281417429884,-0.7616828913895438,0.06560259597388779,0.0,-0.44644863413286795,0.0,-0.14694321128634869,-0.13314730366131142,0.0,0.0,0.599309357232225,0.0
AP0109,2026-05-27 11:01:00,False,75.2440608247891,73.70356116512347,0.020473372154285817,73.69685732994002,0.752440608247891,0.0577214762631082,0.18983791548900067,33.34744,2.55816,8.413432804000001,45.24947359790917,39.40062749999999,280.74412917995005,0.38237024847892825,18.7838621683141,1069.0604857469898,1111.475887327809,2.557428834695533,-0.11621069694794195,4,-1.3552542062380322,-1.5089236473362677,-1.3246541756909125,-1.2931949925779236,0.0314591831129889,2.9954017927350316,31501.011077967116,1.3953218652161135,109,66.69683017951613,67.51394069607987,66.58205534659736,0.6751394069607988,0.1345013874823783,0.19035920555682284,True,2.7815505543072807,-0.3595825449824811,2.4378454318515477,29294.572606073583,52952.40171437016,72096.9772195431,1.144640563984379,-0.03530171899244973,0.0,0.07050076887943166,0.0,-0.5007281417429884,-0.7616828913895438,0.11683944630817619,0.0,-0.7951333395082185,0.0,-0.14694321128634869,-0.13314730366131142,0.0,0.0,0.08153772731572646,0.0
AP0110,2026-05-27 18:29:00,False,67.51394069607987,66.69683017951613,0.012102841400445848,66.58205534659736,0.6751394069607988,0.1345013874823783,0.19035920555682284,33.66888,6.707520000000001,9.493122728000001,50.56749874231786,39.4006275,280.0890067803059,0.453398208690588,17.927828872727392,1095.693003670259,1075.0880895047749,2.7054994029122925,-0.25011967350416137,3,-1.4598041047569066,-1.488776836568804,-1.3683894745789043,-1.317260825568873,0.051128649010031335,4.304247464787525,38556.82288867042,0.20430266787067897,110,59.00811082640783,59.95947216997236,56.50046303848369,0.5995947216997236,0.1756929522824832,0.22471232601779326,True,2.7311497320168945,-0.2793928362551056,3.84801138843785,37896.05671387534,55513.77211999348,70309.76386423285,1.022436606731356,-0.2521779206275777,0.0,0.5036224242355735,0.0,-0.5007281417429884,-0.7616828913895438,0.004593175723884485,0.0,-0.03125816894619077,0.0,-0.14694321128634869,-0.13314730366131142,0.0,0.0,-0.24758474490369323,0.0
AP0111,2026-05-28 01:52:00,False,59.95947216997236,59.00811082640783,0.015866739801638448,56.50046303848369,0.5995947216997236,0.1756929522824832,0.22471232601779326,29.61168,8.6768,11.097678564,52.40962358101534,39.40062749999999,277.14095598190727,0.456403532873712,18.103944493242338,1142.146766225014,1124.2452583430543,2.7510723476112555,-0.12594346978939477,4,-1.4066373395176912,-1.476562286093603,-1.5051043543567322,-1.3746213616701897,0.1304829926865425,4.633840995542943,37953.035421306195,1.4916376497173078,111,69.61273870075898,70.280035285811,69.39358842565466,0.70280035285811,0.14098359586201786,0.1562160512798722,True,2.871040384932462,-0.2651708779634422,3.9639923279141316,35680.095419440215,57350.74569966636,76501.99070025964,1.0372455777886858,-0.5452519632940672,0.8122659239940657,0.48906028641842236,-1.8368651064597357,-1.1148972395349421,-1.5880846662998436,0.019946901300536973,0.0,0.3793254604156822,0.0,0.052585189717237135,0.043011870124415374,-0.12260089469574721,0.01982372048051787,-0.5253050619935302,0.8122659239940657
AP0112,2026-05-28 10:10:00,False,70.280035285811,69.61273870075898,0.009494824274607946,69.39358842565466,0.70280035285811,0.14098359586201786,0.1562160512798722,37.09104,7.4405600000000005,8.24446912,53.45024063676684,41.05276577000001,277.14095598190727,0.4527211154518183,18.646581527415137,1139.9229597130416,1122.8944220675153,2.839638424004357,-0.21786520702532036,4,-1.3917876752837979,-1.5287593087698186,-1.1185115316451688,-1.2906055326654904,-0.17209400102032157,5.0468747902676965,41440.76978837188,0.6609863537511531,112,74.27826584080685,75.2067368896212,71.92181136326094,0.752067368896212,0.11336840477066262,0.13456422633312543,True,2.967728613830687,-0.3503388923642279,4.438341125274794,39872.82290599752,56947.32310227353,74202.7419407227,1.0253578584996916,0.19253153812910428,0.8703855454608866,-0.17268994065266058,-2.025227588122148,-1.1148972395349421,-1.5880846662998436,-0.011202301268642583,0.0,-0.2130314890728735,0.0,0.052585189717237135,0.043011870124415374,-0.13517308015330207,0.021856556300829746,0.1813292368604617,0.8703855454608866
AP0113,2026-05-28 18:01:00,False,75.2067368896212,74.27826584080685,0.012345583483791436,71.92181136326094,0.752067368896212,0.11336840477066262,0.13456422633312543,38.20824,5.759600000000001,6.83643842,53.124690932794714,41.05276577,277.04004453378917,0.44632020876955797,19.195419524733445,1085.298056190789,1140.4741118075744,2.6572612131690527,-0.067968172551226,4,-1.3838829637367938,-1.446711172874305,-1.2774517172466675,-1.3649809085004194,-0.08752919125375191,4.71530853562844,41232.01608134575,1.9775794876567927,113,63.9268449257049,64.61897281426242,66.57168761416128,0.6461897281426243,0.15708538681302708,0.19672488504434868,True,2.7342972223748463,-0.16651659004399944,4.1936275774368825,40422.75297859617,56589.73799570968,68136.60753828836,1.0799704433593833,-0.053626598978459644,0.7772243057273942,0.04810003745352259,-1.8316828072276015,-1.1148972395349421,-1.5880846662998436,0.011840149312515848,0.0,0.22516129305956867,0.0,0.052585189717237135,0.043011870124415374,-0.1222550040148222,0.019767792339108387,-0.041786449665943796,0.7772243057273942
