Batch,fase,orden_escalon_fase,m6_avance_prev,ley_sn_escoria_pct_prev,real_sn_dep,real_feo_ret,real_d_lnirf,temperatura_real,pred_T_historico,pred_T_recomendado,support_historico,support_recomendado,J_historico,J_recomendado,uplift_J_kgSn,pred_sn_dep_hist,pred_sn_dep_rec,pred_dT_hist,pred_dT_rec,J_sn_hist,J_sn_rec,J_feo_hist,J_feo_rec,J_costo_hist,J_costo_rec,J_temperatura_hist,J_temperatura_rec,J_incertidumbre_hist,J_incertidumbre_rec,J_soporte_hist,J_soporte_rec,hist__duracion_plan_min,rec__duracion_plan_min,hist__tasa_feed_conc_kg_min,rec__tasa_feed_conc_kg_min,hist__tasa_feed_reciclo_kg_min,rec__tasa_feed_reciclo_kg_min,hist__tasa_feed_Fe_kg_min,rec__tasa_feed_Fe_kg_min,hist__tasa_feed_dross_Fe_kg_min,rec__tasa_feed_dross_Fe_kg_min,hist__tasa_feed_pellets_kg_min,rec__tasa_feed_pellets_kg_min,hist__tasa_feed_CaO_kg_min,rec__tasa_feed_CaO_kg_min,hist__tasa_feed_Carbon_kg_min,rec__tasa_feed_Carbon_kg_min,hist__tasa_gn_nm3_min,rec__tasa_gn_nm3_min,hist__tasa_o2_nm3_min,rec__tasa_o2_nm3_min,hist__tasa_aire_nm3_min,rec__tasa_aire_nm3_min,hist_derivada__exceso_o2_combustion_pct,rec_derivada__exceso_o2_combustion_pct,hist_derivada__relacion_C_Sn_carga,rec_derivada__relacion_C_Sn_carga,hist_derivada__m6_dosis_C_sn,rec_derivada__m6_dosis_C_sn,hist_derivada__m6_exceso_C_pos,rec_derivada__m6_exceso_C_pos,pred_feo_ret_hist,pred_feo_ret_rec,fold,es_lockbox
AP0004,Fusión,1,0.8126769141484678,13.6815,0.8698416536381474,,0.09613372166398326,1229.2992881681967,1220.9235172059682,1220.9235172059682,0.19399605488337232,0.19399605488337232,-329.9688119225395,-329.9688119225395,0.0,0.5750013071082518,0.5750013071082518,-10.176227927497255,-10.176227927497255,-0.0,-0.0,-170.91913853792784,-170.91913853792784,-102.09062609698066,-102.09062609698066,-25.32550908879921,-25.32550908879921,-31.63353819883177,-31.63353819883177,-0.0,-0.0,35.0,35.0,290.13779025607636,290.13779025607636,0.0,0.0,54.603364054362004,54.603364054362004,4.2885252968664235e-25,4.2885252968664235e-25,0.003029914302923889,0.003029914302923889,50.694746568467885,50.694746568467885,36.401029403121385,36.401029403121385,25.24515177408854,25.24515177408854,33.94690079635791,33.94690079635791,122.8275496031746,122.8275496031746,18.321107251852663,18.321107251852663,0.23882367036353516,0.23882367036353516,0.210257828259592,0.210257828259592,47.86403336216199,47.86403336216199,,,4,False
AP0004,Fusión,2,0.7241334274533415,18.3199,0.5970745727657593,,0.06269198878775506,1226.0448253418967,1226.0920901114014,1226.0920901114014,0.28444322152156987,0.28444322152156987,-348.4432417111154,-348.4432417111154,0.0,0.5365471461694862,0.5365471461694862,-3.207198056795377,-3.207198056795377,-0.0,-0.0,-159.48863919887975,-159.48863919887975,-121.6584094137383,-121.6584094137383,-35.66265489966554,-35.66265489966554,-31.63353819883177,-31.63353819883177,-0.0,-0.0,40.0,40.0,288.6054036458333,288.6054036458333,0.0,0.0,54.47370148945625,54.47370148945625,4.288525296866423e-25,4.288525296866423e-25,0.006271694679328097,0.006271694679328097,52.02833837493648,52.02833837493648,38.74927442597179,38.74927442597179,25.360810707939994,25.360810707939994,34.31721928066678,34.31721928066678,123.18253248426649,123.18253248426649,18.658570886142396,18.658570886142396,0.25542242617595745,0.25542242617595745,0.1800771323371524,0.1800771323371524,0.0,0.0,,,4,False
AP0004,Fusión,3,0.6897844653413213,19.7822,0.5903585885417088,,-0.011649901505916604,1218.65041424143,1211.956995667408,1211.956995667408,0.3213990643523648,0.3213990643523648,-333.33905276169713,-333.33905276169713,0.0,0.5042609957588168,0.5042609957588168,-14.087829674488908,-14.087829674488908,0.0,0.0,-149.89158098930827,-149.89158098930827,-144.42146756187844,-144.42146756187844,-7.392466011678607,-7.392466011678607,-31.63353819883177,-31.63353819883177,-0.0,-0.0,45.0,45.0,289.236231176404,289.236231176404,0.0,0.0,54.43797802026711,54.43797802026711,1.4134334418011587e-06,1.4134334418011587e-06,0.004914699197895284,0.004914699197895284,51.90305335003397,51.90305335003397,41.89336937061254,41.89336937061254,25.535825896086518,25.535825896086518,34.862270040629824,34.862270040629824,123.01817946445794,123.01817946445794,18.844967018411463,18.844967018411463,0.27571054348058727,0.27571054348058727,0.16286534862928345,0.16286534862928345,0.0,0.0,,,4,False
AP0004,Fusión,4,0.709892491911939,18.8387,0.46768817839670235,,-0.007022461583377604,1207.3160739804116,1209.8155682673305,1209.8155682673305,0.2632425483658647,0.2632425483658647,-332.5506515050759,-332.5506515050759,0.0,0.47729973478553855,0.47729973478553855,-8.834845974099684,-8.834845974099684,0.0,0.0,-141.87734616500134,-141.87734616500134,-155.93015592971898,-155.93015592971898,-3.10961121152377,-3.10961121152377,-31.63353819883177,-31.63353819883177,-0.0,-0.0,50.0,50.0,263.0549083243079,263.0549083243079,0.0,0.0,49.16915608426321,49.16915608426321,7.60680437621947e-24,7.60680437621947e-24,6.820394587550872e-05,6.820394587550872e-05,47.73416593515697,47.73416593515697,39.76317197610851,39.76317197610851,25.869303826226133,25.869303826226133,35.43654050021701,35.43654050021701,123.20363061523437,123.20363061523437,18.498169377216207,18.498169377216207,0.2881563664979371,0.2881563664979371,0.14933133592062298,0.14933133592062298,0.0,0.0,,,4,False
AP0004,Fusión,5,0.712491718216006,18.7328,0.5755180737981491,,-0.06095247236893275,1201.1687548201394,1197.0646860785967,1197.0646860785967,0.1731889574562488,0.1731889574562488,-367.4244324300992,-367.4244324300992,0.0,0.5803012288635815,0.5803012288635815,-10.251387901814955,-10.251387901814955,0.0,0.0,-172.49454027969958,-172.49454027969958,-163.29635395156785,-163.29635395156785,-0.0,-0.0,-31.63353819883177,-31.63353819883177,-0.0,-0.0,55.0,55.0,237.94097067433114,237.94097067433114,4.425464726080174e-06,4.425464726080174e-06,42.89197997010891,42.89197997010891,0.03141214460643876,0.03141214460643876,0.002150753200419331,0.002150753200419331,42.31139324623607,42.31139324623607,36.25445400165609,36.25445400165609,26.307687205305005,26.307687205305005,36.70713010592785,36.70713010592785,123.31005679352116,123.31005679352116,18.980892436533544,18.980892436533544,0.2926486809326297,0.2926486809326297,0.13158217229406502,0.13158217229406502,0.0,0.0,,,4,False
AP0004,Fusión,6,0.7620841689206808,16.3006,0.7014777991372686,,-0.056275850653364934,1200.9194444025004,1191.7607892731403,1191.7607892731403,0.23759993455774828,0.23759993455774828,-527.9043422962949,-527.9043422962949,0.0,0.8813912249905833,0.8813912249905833,-9.407965546999188,-9.407965546999188,0.0,0.0,-261.9935416284509,-261.9935416284509,-234.27726246901221,-234.27726246901221,-0.0,-0.0,-31.63353819883176,-31.63353819883176,-0.0,-0.0,68.0,68.0,281.4790805686899,281.4790805686899,0.0031764937521848277,0.0031764937521848277,55.71200484023206,55.71200484023206,3.0920574145543745e-27,3.0920574145543745e-27,0.003642625855924535,0.003642625855924535,49.56499055837727,49.56499055837727,45.433297901711065,45.433297901711065,26.625223330643035,26.625223330643035,37.48322648335705,37.48322648335705,122.83561725070251,122.83561725070251,18.832254137708883,18.832254137708883,0.30393346534706356,0.30393346534706356,0.1653203463334258,0.1653203463334258,0.0,0.0,,,4,False
AP0004,Reducción,0,0.7731464909946499,15.8259,2.100812136720415,-0.2096719004106781,-0.057001053204014385,1206.7795011608696,1206.9816104718484,1206.9816104718484,0.26539908712192395,0.26539908712192395,673.7458808485763,673.7458808485763,0.0,1.5686247292582542,1.5686247292582542,6.0621660693479065,6.0621660693479065,2325.7410626438664,2325.7410626438664,-836.2326930234327,-836.2326930234327,-122.79353471992522,-122.79353471992522,-54.557273439980236,-54.557273439980236,-638.411680611952,-638.411680611952,-0.0,-0.0,30.0,30.0,,,,,,,0.015831814987973664,0.015831814987973664,2.0685068003693408e-05,2.0685068003693408e-05,,,62.50077783728159,62.50077783728159,25.017625291612415,25.017625291612415,21.7550173385055,21.7550173385055,119.7388439489294,119.7388439489294,-6.265734614898169,-6.265734614898169,,,0.16424670390043575,0.16424670390043575,0.0,0.0,-0.09261206044388871,-0.09261206044388871,4,False
AP0004,Reducción,1,0.9720852943721642,2.4745,0.10558680133654313,0.059225219858391694,0.06723048757739947,1205.6414387750349,1214.5495294534373,1213.7674044785608,0.32693584037554935,0.32673047783240683,-387.4306737394855,-363.5031848554603,23.927488884025195,0.4562786042065338,0.46226620815006125,7.77002829256781,6.98790331769131,676.5071760093699,685.3847718412901,-287.7869945097944,-277.62179102500073,-68.04606322395091,-64.3148985201076,-69.69311140315813,-68.12886145340508,-638.411680611952,-638.411680611952,-0.0,-0.41072508628503535,25.0,25.0,,,,,,,7.590149847180055e-21,7.590149847180055e-21,3.6305731877459474e-19,3.6305731877459474e-19,,,36.87400184044472,33.07380361889901,23.13112353515625,23.933238183550955,18.42087308811128,20.090861435282527,119.52274712456598,121.09013574309807,-5.926208214390227,-4.90256773398436,,,0.6551468460058532,0.5876280589261186,637.1133215249884,542.1083659863455,-0.03187216519141676,-0.03074637753995052,4,False
AP0004,Reducción,2,0.9748765023802011,2.2298,0.9466435209232136,-0.10870668392457775,-0.09427931751829588,1203.4357425040255,1209.32872132722,1208.293846267094,0.4305283721261986,0.43927823660574733,-934.1725279251473,-885.5637563446184,48.60877158052892,0.45344426854007897,0.4398772697939259,3.687282552185003,2.6524074920592797,672.3048128043048,652.1895325258366,-876.3433979200453,-816.7151408462803,-32.470767046731616,-25.444722381751163,-59.25149515072326,-57.181745030471575,-638.411680611952,-638.411680611952,-0.0,-0.0,20.0,20.0,,,,,,,7.590149847180055e-21,7.590149847180055e-21,3.630573187745948e-19,3.630573187745948e-19,,,18.502420431470114,11.74815344636798,19.473116641574435,18.823130010881844,11.4223831515842,12.01345464427038,119.71105801052518,119.63181198729619,-6.122615072986058,-1.3550479114424587,,,0.2922045087885795,0.18553590973049,113.78093610805865,0.0,-0.0970542869405607,-0.09045050811876748,4,False
AP0004,Reducción,3,0.9902491268502789,0.9044,,,,1206.9221527932623,1204.4061235823326,1204.0171592222052,0.45866772367813696,0.45655564869814835,-911.5464254125486,-899.2877815631738,12.258643849374835,0.28775195805955284,0.2754436135221934,0.9703810783072286,0.5814167181797225,426.6390375164717,408.389916633849,-637.4157674780274,-604.7180469507996,-12.951715178092321,-11.695449733600112,-49.40629966094866,-48.62837094069391,-638.411680611952,-638.411680611952,-0.0,-4.224149959977219,15.0,15.0,,,,,,,7.590149847180055e-21,7.590149847180055e-21,3.630573187745947e-19,3.630573187745947e-19,,,4.420470531781515,3.3616943671156316,18.36236572265625,17.403647178725826,9.15531802707248,8.950251518911765,119.56973560474538,119.54763773564076,-6.69785412837226,-2.160578487751167,,,0.13490328398818965,0.10259170525580429,0.0,0.0,-0.07059325481778145,-0.0669720100433199,4,False
