fase,orden_escalon_fase,hist__duracion_plan_min,rec__duracion_plan_min,hist__tasa_feed_conc_kg_min,rec__tasa_feed_conc_kg_min,hist__tasa_feed_reciclo_kg_min,rec__tasa_feed_reciclo_kg_min,hist__tasa_feed_Fe_kg_min,rec__tasa_feed_Fe_kg_min,hist__tasa_feed_dross_Fe_kg_min,rec__tasa_feed_dross_Fe_kg_min,hist__tasa_feed_pellets_kg_min,rec__tasa_feed_pellets_kg_min,hist__tasa_feed_CaO_kg_min,rec__tasa_feed_CaO_kg_min,hist__tasa_feed_Carbon_kg_min,rec__tasa_feed_Carbon_kg_min,hist__tasa_gn_nm3_min,rec__tasa_gn_nm3_min,hist__tasa_o2_nm3_min,rec__tasa_o2_nm3_min,hist__tasa_aire_nm3_min,rec__tasa_aire_nm3_min
Fusión,1,31.96358543417367,31.96358543417367,189.24807940603338,189.24807940603338,23.480436744262075,23.480436744262075,45.67741249871138,45.67741249871138,65.76939354129757,65.76939354129757,97.76161963535256,97.76161963535256,40.36268043048145,40.36268043048145,34.98187878568518,34.98187878568518,30.208968464533655,30.208968464533655,46.39957161017759,46.39957161017759,120.03477489857289,120.03477489857289
Fusión,2,36.96666666666667,36.96666666666667,188.969532985591,188.969532985591,23.516238241948162,23.516238241948162,45.4722834707716,45.4722834707716,64.89689789327791,64.89689789327791,95.61698054842276,95.61698054842276,40.0338825263871,40.0338825263871,48.29732410311727,48.29732410311727,30.322446000891613,30.322446000891613,46.77917327313383,46.77917327313383,119.93363594198688,119.93363594198688
Fusión,3,41.960893854748605,41.960893854748605,189.06462168491092,189.06462168491092,23.53091388496626,23.53091388496626,45.2219528895244,45.2219528895244,63.30894922292343,63.30894922292343,92.46748262930615,92.46748262930615,39.811903779737314,39.811903779737314,51.97962874234778,51.97962874234778,30.438206287059042,30.438206287059042,47.35746149812704,47.35746149812704,120.01182403754987,120.01182403754987
Fusión,4,46.966573816155986,46.966573816155986,187.07755585080838,187.07755585080838,23.03670431366057,23.03670431366057,44.36301804556978,44.36301804556978,60.28862652664997,60.28862652664997,89.26158782956395,89.26158782956395,39.245293428881936,39.245293428881936,52.0279898129684,52.0279898129684,30.58780044871789,30.58780044871789,47.65198485075218,47.65198485075218,120.47612250065605,120.47612250065605
Fusión,5,51.96666666666667,51.96666666666667,187.1209155005284,187.1209155005284,23.05372541728592,23.05372541728592,44.30052189604741,44.30052189604741,61.08038687216104,61.08038687216104,89.54263319926842,89.54263319926842,39.2431773791548,39.2431773791548,48.955279565673905,48.955279565673905,30.614662112866668,30.614662112866668,47.777199455890916,47.777199455890916,120.60101572713899,120.60101572713899
Fusión,6,61.07082152974504,61.07082152974504,182.51556641077082,182.51556641077082,22.07670265573034,22.07670265573034,42.65895219967048,42.65895219967048,62.34660704907357,62.34660704907357,96.65353389870711,96.65353389870711,34.48543636729924,34.48543636729924,44.0122663334529,44.0122663334529,30.51004438101966,30.51004438101966,47.59643748693089,47.59643748693089,120.24137235853523,120.24137235853523
Reducción,0,30.0,30.0,,,,,,,20.427763642572792,20.427763642572792,18.08031254911549,18.08031254911549,,,60.924331605954464,62.024230549103756,27.90206752146343,27.910758197681794,28.37891448634739,28.37891448634739,119.58649695799106,119.58649695799106
Reducción,1,25.0,25.0,,,,,,,0.34544831661861547,0.34544831661861547,0.2252972472834636,0.2252972472834636,,,31.516126191502313,31.36627514084753,24.413387766105885,24.504767700681214,23.172286241014863,23.172286241014863,118.34937248598165,118.34937248598165
Reducción,2,20.0,20.0,,,,,,,0.01030269144139887,0.01030269144139887,0.05621863156763969,0.05621863156763969,,,12.042527664894356,11.667403541516308,18.816925648490603,18.92858457834359,12.168808166523602,12.168808166523602,119.42671460767662,119.42671460767662
Reducción,3,13.219101123595506,13.219101123595506,,,,,,,0.05785312188474042,0.05785312188474042,0.19988900857490566,0.19988900857490566,,,6.963961133230454,6.797222144611609,16.7046659668393,16.792293468287358,7.776285543425347,7.776285543425347,119.66820368762156,119.66820368762156
